Sentence,Tokens,Labels
"The summit of Mount Aconcagua stands at 22,841 feet above sea level, making it the highest peak in both the Western Hemisphere and the Southern Hemisphere.","<s> The Ġsummit Ġof ĠMount ĠA con c ag ua Ġstands Ġat Ġ22 , 8 41 Ġfeet Ġabove Ġsea Ġlevel , Ġmaking Ġit Ġthe Ġhighest Ġpeak Ġin Ġboth Ġthe ĠWestern ĠHemisphere Ġand Ġthe ĠSouthern ĠHemisphere . </s>",<s> O O O O B-LOCATION I-LOCATION I-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O O O O O O O O </s>
"The Appalachian Mountains stretch across 14 states in Eastern North America and include several peaks above Mount Rogers, with nearby Mount Rogers being the highest point.","<s> The ĠAppalachian ĠMountains Ġstretch Ġacross Ġ14 Ġstates Ġin ĠEastern ĠNorth ĠAmerica Ġand Ġinclude Ġseveral Ġpeaks Ġabove ĠMount ĠRogers , Ġwith Ġnearby ĠMount ĠRogers Ġbeing Ġthe Ġhighest Ġpoint . </s>",<s> O O O O O O O O O O O O O O O O O O O O O O O O O O O O </s>
"Ama Dablam is a prominent 6,159-meter peak located in the Mahalangur Himal sub-range of the Himalayas on the border between Nepal and Tibet.","<s> A ma ĠD ab lam Ġis Ġa Ġprominent Ġ6 , 159 - meter Ġpeak Ġlocated Ġin Ġthe ĠMah al ang ur ĠHimal Ġsub - range Ġof Ġthe ĠHimal ay as Ġon Ġthe Ġborder Ġbetween ĠNepal Ġand ĠTibet . </s>",<s> B-LOCATION I-LOCATION I-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O </s>
The Annapurna mountain in the Himalayas is one of the highest and most prominent peaks in Asia's world-famous trekking region.,<s> The ĠAnn ap urn a Ġmountain Ġin Ġthe ĠHimal ay as Ġis Ġone Ġof Ġthe Ġhighest Ġand Ġmost Ġprominent Ġpeaks Ġin ĠAsia 's Ġworld - famous Ġtrek king Ġregion . </s>,<s> O B-LOCATION I-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O O O O O O O </s>
"The snow-capped peak of the Aneto mountain, located in the Pyrenees, is the highest peak in the range and a popular destination for hikers and skiers.","<s> The Ġsnow - c apped Ġpeak Ġof Ġthe ĠAn eto Ġmountain , Ġlocated Ġin Ġthe ĠPy rene es , Ġis Ġthe Ġhighest Ġpeak Ġin Ġthe Ġrange Ġand Ġa Ġpopular Ġdestination Ġfor Ġhikers Ġand Ġsk iers . </s>",<s> O O O O O O O O B-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O O O O O O O O </s>
"The mighty Mount Baker, located in Washington state's Cascade Range, is the highest peak in the contiguous United States.","<s> The Ġmighty ĠMount ĠBaker , Ġlocated Ġin ĠWashington Ġstate 's ĠCascade ĠRange , Ġis Ġthe Ġhighest Ġpeak Ġin Ġthe Ġcontiguous ĠUnited ĠStates . </s>",<s> O O B-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O </s>
The mountain Brebeneskul is part of the Pindus mountain range in Greece.,<s> The Ġmountain ĠBre ben es k ul Ġis Ġpart Ġof Ġthe ĠP ind us Ġmountain Ġrange Ġin ĠGreece . </s>,<s> O O B-LOCATION I-LOCATION I-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O </s>
"Broad Peak, the 12th highest mountain in the world, is located on the Pakistan-China border.","<s> Broad ĠPeak , Ġthe Ġ12 th Ġhighest Ġmountain Ġin Ġthe Ġworld , Ġis Ġlocated Ġon Ġthe ĠPakistan - China Ġborder . </s>",<s> B-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O </s>
"Carstensz is the highest peak in Oceania and part of the Sudirman Range on the island of New Guinea, Indonesia.","<s> Car st ens z Ġis Ġthe Ġhighest Ġpeak Ġin ĠO ce ania Ġand Ġpart Ġof Ġthe ĠSud ir man ĠRange Ġon Ġthe Ġisland Ġof ĠNew ĠGuinea , ĠIndonesia . </s>",<s> B-LOCATION I-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O O O O O O O </s>
The mountain Chimborazo in Ecuador is slightly smaller than Mount Everest but appears larger due to its lower altitude and Earth's curvature.,<s> The Ġmountain ĠChim bor azo Ġin ĠEcuador Ġis Ġslightly Ġsmaller Ġthan ĠMount ĠEverest Ġbut Ġappears Ġlarger Ġdue Ġto Ġits Ġlower Ġaltitude Ġand ĠEarth 's Ġcurv ature . </s>,<s> O O O O O O O O O O O B-LOCATION I-LOCATION O O O O O O O O O O O O O O </s>
Cho Oyu is the sixth highest mountain in the world and the second-highest in Asia.,<s> Cho ĠO yu Ġis Ġthe Ġsixth Ġhighest Ġmountain Ġin Ġthe Ġworld Ġand Ġthe Ġsecond - highest Ġin ĠAsia . </s>,<s> B-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O O </s>
"Chulu West, located in the Himalayas of Nepal, is known for its challenging climb due to unpredictable weather conditions and steep terrain.","<s> Ch ulu ĠWest , Ġlocated Ġin Ġthe ĠHimal ay as Ġof ĠNepal , Ġis Ġknown Ġfor Ġits Ġchallenging Ġclimb Ġdue Ġto Ġunpredictable Ġweather Ġconditions Ġand Ġsteep Ġterrain . </s>",<s> B-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O O O O O O O </s>
Citlaltepetl is the Nahuatl name for the Mexican volcano Popocatépetl.,<s> C it l alt ep et l Ġis Ġthe ĠN ahu atl Ġname Ġfor Ġthe ĠMexican Ġvolcano ĠPop oc at Ã© pet l . </s>,<s> B-LOCATION I-LOCATION I-LOCATION I-LOCATION I-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O </s>
"Denali, formerly known as Mount McKinley, is the highest peak in North America located in Alaska's interior.","<s> Den ali , Ġformerly Ġknown Ġas ĠMount ĠMcKin ley , Ġis Ġthe Ġhighest Ġpeak Ġin ĠNorth ĠAmerica Ġlocated Ġin ĠAlaska 's Ġinterior . </s>",<s> B-LOCATION I-LOCATION O O O O B-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O </s>
